Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 26 s using 10156 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  increased_activity_or_abundance_biolink:affects  ?b  ?b  increased_degradation_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.4	0.5	2	5	4	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.333333333	0.333333333	1	3	3	?a
?b  decreased_molecular_interaction_biolink:affects  ?a  ?a  downregulated_biolink:regulates  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.142857143	0.333333333	1	7	3	?a
?b  abundance_biolink:affects  ?a  ?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.333333333	0.333333333	1	3	3	?a
?a  increased_transport_biolink:affects  ?b  ?b  uptake_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.5	0.5	1	2	2	?a
?b  increased_molecular_interaction_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.2	0.333333333	1	5	3	?a
?b  biolink:related_to  ?a  ?b  increased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.5	1	2	4	2	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  uptake_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.666666667	0.666666667	2	3	3	?a
?b  increased_activity_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000010942	0.111111111	0.333333333	4	36	12	?a
?b  abundance_biolink:affects  ?a  ?b  increased_molecular_modification_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.2	0.2	1	5	5	?a
?b  increased_activity_biolink:affects  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.034482759	0.047619048	1	29	21	?a
?a  biolink:binds  ?b  ?b  increased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  biolink:binds  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000155921	0.655172414	0.678571429	57	87	84	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000049238	0.461538462	0.473684211	18	39	38	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  increased_molecular_modification_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.2	0.2	1	5	5	?a
?b  increased_activity_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.002212389	0.014285714	1	452	70	?a
?a  activity_biolink:affects  ?b  ?b  activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000008206	0.428571429	0.6	3	7	5	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  increased_activity_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000125831	0.215962441	0.244680851	46	213	188	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000125831	0.205357143	0.231155779	46	224	199	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  biolink:directly_physically_interacts_with  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.001137952	0.35862069	0.398467433	416	1160	1044	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  downregulated_biolink:regulates  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000019148	0.7	0.7	7	10	10	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.2	0.2	1	5	5	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  biolink:interacts_with  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.00018054	0.4125	0.44295302	66	160	149	?a
?a  biolink:increases_response_to  ?b  ?b  decreased_expression_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.01754386	0.142857143	1	57	7	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  biolink:related_to  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.5	0.5	2	4	4	?a
?b  biolink:directly_physically_interacts_with  ?a  ?b  decreased_expression_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.023255814	0.111111111	1	43	9	?a
?b  decreased_expression_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.0625	0.333333333	1	16	3	?a
