Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 24 s using 10357 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  biolink:increases_response_to  ?a  ?b  decreased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.142857143	0.25	1	7	4	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_activity_or_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000539202	0.086261981	0.099264706	27	313	272	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000419379	0.082352941	0.097674419	21	255	215	?a
?b  biolink:affects_response_to  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000519232	0.169934641	0.194029851	26	153	134	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:binds  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000279586	0.4375	0.482758621	14	32	29	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.109375	0.111111111	7	64	63	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.109375	0.111111111	7	64	63	?a
?a  activity_biolink:affects  ?b  ?b  biolink:affects_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.5	0.5	3	6	6	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.2	0.2	2	10	10	?a
?a  activity_or_abundance_biolink:affects  ?b  ?b  biolink:affects_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.5	0.5	3	6	6	?a
?b  biolink:affects_response_to  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.103448276	0.107142857	3	29	28	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_localization_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.333333333	0.333333333	1	3	3	?a
?b  biolink:affects_response_to  ?a  ?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.071428571	0.097560976	4	56	41	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:affects_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000479291	0.375	0.413793103	24	64	58	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  biolink:affects_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000479291	0.328767123	0.387096774	24	73	62	?a
