Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 37 s using 10313 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  biolink:increases_response_to  ?a  ?a  upregulated_biolink:regulates  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000066854	0.285714286	0.285714286	4	14	14	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000033427	0.2	0.2	2	10	10	?a
?b  biolink:decreases_response_to  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.1	0.1	1	10	10	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000150421	0.225	0.264705882	9	40	34	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000300842	0.391304348	0.43902439	18	46	41	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000066854	0.166666667	0.173913043	4	24	23	?a
?b  biolink:increases_response_to  ?a  ?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.176470588	0.230769231	3	17	13	?a
?b  biolink:increases_response_to  ?a  ?b  transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.25	0.25	1	4	4	?a
?b  biolink:increases_response_to  ?a  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000501404	0.625	0.652173913	30	48	46	?a
?b  activity_biolink:affects  ?a  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.25	0.25	1	4	4	?a
?b  biolink:increases_response_to  ?a  ?b  uptake_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.333333333	0.333333333	1	3	3	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_activity_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.142857143	0.2	1	7	5	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_activity_or_abundance_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000534831	0.125	0.142222222	32	256	225	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.111111111	0.142857143	1	9	7	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_localization_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.2	0.25	1	5	4	?a
?b  biolink:decreases_response_to  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000066854	0.137931034	0.153846154	4	29	26	?a
?b  biolink:increases_response_to  ?a  ?a  biolink:increases_response_to  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000033427	0.333333333	0.5	2	6	4	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000284129	0.395348837	0.435897436	17	43	39	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00038441	0.58974359	0.657142857	23	39	35	?a
?b  activity_biolink:affects  ?a  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.333333333	0.5	1	3	2	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  biolink:binds  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000534831	0.367816092	0.463768116	32	87	69	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.6	0.6	3	5	5	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	1	1	1	1	1	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  decreased_abundance_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000083567	0.294117647	0.294117647	5	17	17	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  increased_localization_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.5	0.5	1	2	2	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000083567	0.294117647	0.294117647	5	17	17	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  increased_synthesis_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.142857143	0.1875	3	21	16	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  biolink:related_to  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.25	0.333333333	1	4	3	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  increased_abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.142857143	0.1875	3	21	16	?a
