Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Score	total Head
?e  <biolink:coexists_with>  ?a  ?e  <biolink:predisposes>  ?b  ?e  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.017182063	0.102840237	0.141094333	869	8450	6159	?a	0.1200223	14.091901297
?a  <biolink:coexists_with>  ?e  ?a  <biolink:entity_positively_regulates_entity>  ?e  ?e  <biolink:prevents>  ?b   => ?a  <biolink:treats>  ?b	0.012239007	0.106485464	0.146717232	619	5813	4219	?a	0.118724471	14.104140304
?a  <biolink:coexists_with>  ?e  ?e  <biolink:entity_positively_regulates_entity>  ?b  ?e  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.016134135	0.102525443	0.132360097	816	7959	6165	?a	0.11865957799999999	14.120274439
?e  <biolink:prevents>  ?b  ?b  <biolink:related_to>  ?e  ?a  <biolink:subclass_of>  ?e   => ?a  <biolink:treats>  ?b	0.012614679	0.105734173	0.199001871	638	6034	3206	?a	0.118348852	14.132889118
?e  <biolink:causes>  ?b  ?a  <biolink:entity_negatively_regulates_entity>  ?e  ?e  <biolink:prevents>  ?b   => ?a  <biolink:treats>  ?b	0.014156912	0.103483162	0.159252669	716	6919	4496	?a	0.11764007400000001	14.14704603
?a  <biolink:entity_negatively_regulates_entity>  ?f  ?f  <biolink:located_in>  ?b  ?f  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.011388801	0.105979761	0.177176253	576	5435	3251	?a	0.11736856200000001	14.158434831000001
?a  <biolink:entity_negatively_regulates_entity>  ?e  ?e  <biolink:physically_interacts_with>  ?a  ?e  <biolink:prevents>  ?b   => ?a  <biolink:treats>  ?b	0.014038279	0.103302779	0.149128334	710	6873	4761	?a	0.117341058	14.17247311
?b  <biolink:close_match>  ?j  ?f  <biolink:close_match>  ?j  ?a  <biolink:prevents>  ?f   => ?a  <biolink:treats>  ?b	0.014038279	0.103107755	0.11627907	710	6886	6106	?a	0.117146034	14.186511389
?e  <biolink:derives_from>  ?a  ?a  <biolink:physically_interacts_with>  ?e  ?e  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.010558368	0.105847374	0.144285328	534	5045	3701	?a	0.11640574199999999	14.197069757
?e  <biolink:coexists_with>  ?a  ?e  <biolink:predisposes>  ?b  ?e  <biolink:prevents>  ?b   => ?a  <biolink:treats>  ?b	0.014888485	0.101509841	0.14784999	753	7418	5093	?a	0.116398326	14.211958242
?j  <biolink:manifestation_of>  ?f  ?b  <biolink:precedes>  ?f  ?a  <biolink:prevents>  ?j   => ?a  <biolink:treats>  ?b	0.012772857	0.103293892	0.116354467	646	6254	5552	?a	0.116066749	14.224731099
?i  <biolink:interacts_with>  ?f  ?i  <biolink:predisposes>  ?b  ?a  <biolink:prevents>  ?f   => ?a  <biolink:treats>  ?b	0.01431509	0.101485842	0.109996961	724	7134	6582	?a	0.11580093200000001	14.239046189
?e  <biolink:entity_negatively_regulates_entity>  ?a  ?a  <biolink:subclass_of>  ?e  ?e  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.014908257	0.100707894	0.139888683	754	7487	5390	?a	0.115616151	14.253954446
?e  <biolink:entity_negatively_regulates_entity>  ?j  ?e  <biolink:has_input>  ?a  ?j  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.012436729	0.103131661	0.143214936	629	6099	4392	?a	0.11556839	14.266391174999999
?f  <biolink:affects>  ?b  ?a  <biolink:entity_positively_regulates_entity>  ?f  ?a  <biolink:treats>  ?f   => ?a  <biolink:treats>  ?b	0.010479279	0.104971281	0.104971281	530	5049	5049	?a	0.11545056	14.276870453999999
?e  <biolink:entity_positively_regulates_entity>  ?b  ?i  <biolink:manifestation_of>  ?e  ?a  <biolink:treats>  ?i   => ?a  <biolink:treats>  ?b	0.014077823	0.100964265	0.100964265	712	7052	7052	?a	0.115042088	14.290948276999998
?e  <biolink:causes>  ?b  ?i  <biolink:has_input>  ?e  ?a  <biolink:treats>  ?i   => ?a  <biolink:treats>  ?b	0.012061057	0.102762803	0.102762803	610	5936	5936	?a	0.11482386	14.303009333999999
?b  <biolink:interacts_with>  ?f  ?j  <biolink:predisposes>  ?f  ?a  <biolink:prevents>  ?j   => ?a  <biolink:treats>  ?b	0.013840557	0.10066149	0.112775898	700	6954	6207	?a	0.11450204700000001	14.316849890999999
?e  <biolink:contributes_to>  ?b  ?j  <biolink:subclass_of>  ?e  ?a  <biolink:treats>  ?j   => ?a  <biolink:treats>  ?b	0.013998735	0.100411289	0.100411289	708	7051	7051	?a	0.114410024	14.330848625999998
?e  <biolink:precedes>  ?b  ?a  <biolink:prevents>  ?e   => ?a  <biolink:treats>  ?b	0.012258779	0.102108037	0.115091888	620	6072	5387	?a	0.114366816	14.343107404999998
?a  <biolink:disrupts>  ?f  ?j  <biolink:predisposes>  ?b  ?f  <biolink:subclass_of>  ?j   => ?a  <biolink:treats>  ?b	0.01075609	0.10354016	0.152851925	544	5254	3559	?a	0.11429625	14.353863494999997
?a  <biolink:contraindicated_for>  ?f  ?f  <biolink:predisposes>  ?b  ?a  <biolink:treats>  ?f   => ?a  <biolink:treats>  ?b	0.011428345	0.102555004	0.102555004	578	5636	5636	?a	0.11398334900000001	14.365291839999998
?e  <biolink:coexists_with>  ?a  ?a  <biolink:entity_positively_regulates_entity>  ?e  ?e  <biolink:prevents>  ?b   => ?a  <biolink:treats>  ?b	0.010953812	0.102954841	0.142453073	554	5381	3889	?a	0.113908653	14.376245651999998
?a  <biolink:coexists_with>  ?e  ?e  <biolink:entity_positively_regulates_entity>  ?b  ?e  <biolink:prevents>  ?b   => ?a  <biolink:treats>  ?b	0.012100601	0.101559907	0.133770492	612	6026	4575	?a	0.11366050800000001	14.388346252999998
?a  <biolink:causes>  ?b  ?g  <biolink:prevents>  ?b  ?g  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.01182379	0.101614274	0.341909663	598	5885	1749	?a	0.113438064	14.400170042999997
?a  <biolink:derives_from>  ?f  ?f  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.011902879	0.100266489	0.152327935	602	6004	3952	?a	0.112169368	14.412072921999998
?a  <biolink:coexists_with>  ?e  ?e  <biolink:entity_negatively_regulates_entity>  ?a  ?e  <biolink:prevents>  ?b   => ?a  <biolink:treats>  ?b	0.010518823	0.101565483	0.141114058	532	5238	3770	?a	0.112084306	14.422591744999998
?a  <biolink:coexists_with>  ?j  ?j  <biolink:entity_negatively_regulates_entity>  ?f  ?b  <biolink:predisposes>  ?f   => ?a  <biolink:treats>  ?b	0.011902879	0.100166389	0.108040201	602	6010	5572	?a	0.112069268	14.434494624
