Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 27 s using 10275 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  biolink:decreases_response_to  ?a  ?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.041666667	0.125	1	24	8	?a
?b  biolink:increases_response_to  ?a  ?b  increased_activity_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.08	0.133333333	2	25	15	?a
?b  biolink:increases_response_to  ?a  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.0625	0.117647059	2	32	17	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_activity_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.285714286	0.666666667	2	7	3	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:increases_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000044464	0.372093023	0.390243902	16	43	41	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.222222222	0.5	2	9	4	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?b  biolink:affects_response_to  ?a  ?b  biolink:increases_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000147286	0.175496689	0.187279152	53	302	283	?a
?b  biolink:affects_response_to  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000130612	0.307189542	0.317567568	47	153	148	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:directly_physically_interacts_with  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000302909	0.375862069	0.378472222	109	290	288	?a
?b  biolink:affects_response_to  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000061138	0.058047493	0.063037249	22	379	349	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000025011	0.195652174	0.214285714	9	46	42	?a
?b  biolink:affects_response_to  ?a  ?a  increased_activity_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000058359	0.084337349	0.092920354	21	249	226	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:binds  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000044464	0.5	0.551724138	16	32	29	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000016674	0.09375	0.09375	6	64	64	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  biolink:increases_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000044464	0.347826087	0.372093023	16	46	43	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_molecular_modification_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.2	0.2	1	5	5	?a
?b  biolink:increases_response_to  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000013895	0.104166667	0.113636364	5	48	44	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_degradation_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.1	0.1	1	10	10	?a
?b  biolink:affects_response_to  ?a  ?a  increased_localization_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.142857143	0.166666667	1	7	6	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:related_to  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.15	0.176470588	3	20	17	?a
?b  biolink:affects_response_to  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.068965517	0.076923077	2	29	26	?a
