Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-fixed.txt
  Finished robokop-biolink3-fixed.txt, still running: 0
Loaded 18138526 facts in 1 min, 34 s using 10124 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  abundance_biolink:affects  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.294117647	0.294117647	5	17	17	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?b  abundance_biolink:affects  ?a  ?a  increased_localization_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.5	0.5	1	2	2	?a
?a  increased_expression_biolink:affects  ?b  ?b  synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.5	0.5	1	2	2	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:affects_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00043935	0.360655738	0.4	22	61	55	?a
?a  decreased_activity_biolink:affects  ?b  ?b  secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?a  decreased_molecular_interaction_biolink:affects  ?b  ?b  secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?b  abundance_biolink:affects  ?a  ?a  increased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.1	0.1	1	10	10	?a
?a  biolink:affects_response_to  ?b  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.012048193	0.166666667	3	249	18	?a
?b  biolink:affects_response_to  ?a  ?b  synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.666666667	0.666666667	2	3	3	?a
?a  biolink:decreases_response_to  ?b  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.013245033	0.2	2	151	10	?a
?a  decreased_activity_biolink:affects  ?b  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.083333333	0.125	1	12	8	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:directly_physically_interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.003494828	0.152173913	0.224646983	175	1150	779	?a
?b  increased_activity_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.090909091	0.222222222	2	22	9	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.166666667	0.222222222	2	12	9	?a
?b  decreased_transport_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.25	0.25	1	4	4	?a
?b  biolink:directly_physically_interacts_with  ?a  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.001888574	0.02247191	2	1059	89	?a
?a  biolink:affects_response_to  ?b  ?b  decreased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.019607843	0.138888889	5	255	36	?a
?a  biolink:decreases_response_to  ?b  ?b  decreased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.004807692	0.083333333	1	208	12	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.001477813	0.4625	0.596774194	74	160	124	?a
?b  increased_activity_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.00443459	0.026666667	2	451	75	?a
?a  biolink:affects_response_to  ?b  ?b  biolink:directly_physically_interacts_with  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.020689655	0.083333333	6	290	72	?a
?b  decreased_synthesis_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.090909091	0.142857143	1	11	7	?a
?a  biolink:decreases_response_to  ?b  ?b  biolink:directly_physically_interacts_with  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.013513514	0.095238095	2	148	21	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000818788	0.089324619	0.147482014	41	459	278	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:related_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.25	0.333333333	1	4	3	?a
?b  decreased_activity_biolink:affects  ?a  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.001040583	0.018181818	1	961	55	?a
?a  biolink:affects_response_to  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.043478261	0.130434783	6	138	46	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:related_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?a  biolink:decreases_response_to  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.03125	0.222222222	2	64	9	?a
?a  activity_biolink:affects  ?b  ?a  biolink:binds  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000159764	0.205128205	0.571428571	8	39	14	?a
?a  activity_biolink:affects  ?b  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?a  activity_biolink:affects  ?b  ?a  biolink:related_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?a  biolink:directly_physically_interacts_with  ?b  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00091864	0.464646465	0.56097561	46	99	82	?a
?a  biolink:interacts_with  ?b  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000619084	0.563636364	0.704545455	31	55	44	?a
?a  decreased_activity_biolink:affects  ?b  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000379438	0.157024793	0.2375	19	121	80	?a
?a  biolink:binds  ?b  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000159764	0.275862069	0.333333333	8	29	24	?a
?a  decreased_molecular_interaction_biolink:affects  ?b  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.208333333	0.357142857	5	24	14	?a
?b  decreased_activity_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.003252033	0.015564202	4	1230	257	?a
?a  biolink:binds  ?b  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.001118345	0.49122807	0.727272727	56	114	77	?a
?a  biolink:binds  ?b  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.75	0.75	6	8	8	?a
?a  biolink:binds  ?b  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.666666667	0.666666667	2	3	3	?a
?a  biolink:binds  ?b  ?a  biolink:related_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.333333333	0.333333333	1	3	3	?a
?a  biolink:binds  ?b  ?a  increased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.2	0.2	1	5	5	?a
?b  biolink:directly_physically_interacts_with  ?a  ?b  decreased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.001171303	0.011299435	4	3415	354	?a
?a  biolink:binds  ?b  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000339498	0.195402299	0.354166667	17	87	48	?a
?a  abundance_biolink:affects  ?b  ?b  biolink:directly_physically_interacts_with  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.000869565	0.017857143	1	1150	56	?a
?a  biolink:affects_response_to  ?b  ?a  biolink:increases_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.01986755	0.127659574	6	302	47	?a
?a  biolink:decreases_response_to  ?b  ?a  biolink:increases_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.011627907	0.107142857	3	258	28	?a
?a  biolink:directly_physically_interacts_with  ?b  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.5	0.5	6	12	12	?a
?a  biolink:interacts_with  ?b  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.5	0.545454545	6	12	11	?a
?a  decreased_activity_biolink:affects  ?b  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.166666667	0.25	2	12	8	?a
